primary_label,support,sed_auc_v110_like,sed_auc_v113_like,sed_auc_delta
horscr1,0,0.5,0.5,0.0
houspa,0,0.5,0.5,0.0
hyamac1,10,0.9982808,0.65787965,-0.34040117
larela1,0,0.5,0.5,0.0
lesela1,0,0.5,0.5,0.0
lesgrf1,0,0.5,0.5,0.0
limpki,3,0.941844,0.46524823,-0.47659576
linwoo1,0,0.5,0.5,0.0
litcuc2,0,0.5,0.5,0.0
litnig1,37,0.9137632,0.5298264,-0.38393682
mabpar,0,0.5,0.5,0.0
magant1,5,0.8679943,0.45917496,-0.40881935
magtan2,0,0.5,0.5,0.0
masgna1,0,0.5,0.5,0.0
nacnig1,11,0.817921,0.55719316,-0.26072782
ocecra1,0,0.5,0.5,0.0
oliwoo1,0,0.5,0.5,0.0
orbtro3,0,0.5,0.5,0.0
orwpar,13,0.96535695,0.38782513,-0.5775318
osprey,0,0.5,0.5,0.0
pabspi1,0,0.5,0.5,0.0
palhor3,0,0.5,0.5,0.0
paltan1,0,0.5,0.5,0.0
phecuc1,0,0.5,0.5,0.0
picpig2,0,0.5,0.5,0.0
pirfly1,0,0.5,0.5,0.0
plasla1,0,0.5,0.5,0.0
platyr1,0,0.5,0.5,0.0
plcjay1,0,0.5,0.5,0.0
pluibi1,0,0.5,0.5,0.0
purjay1,5,0.8273115,0.48904693,-0.33826458
pvttyr1,0,0.5,0.5,0.0
ragmac1,0,0.5,0.5,0.0
rebscy1,0,0.5,0.5,0.0
recfin1,0,0.5,0.5,0.0
redjun,12,0.5119732,0.6934866,0.18151337
relser1,0,0.5,0.5,0.0
rinkin1,0,0.5,0.5,0.0
rivwar1,0,0.5,0.5,0.0
roahaw,0,0.5,0.5,0.0
rubthr1,0,0.5,0.5,0.0
rufcac2,0,0.5,0.5,0.0
rufcas2,0,0.5,0.5,0.0
rufgna3,0,0.5,0.5,0.0
rufhor2,4,0.90553975,0.21768466,-0.6878551
rufnig1,0,0.5,0.5,0.0
