branch,weight,min,max,mean,std
clean_anchor,base,0.011144416406750679,0.9994698762893677,0.521132230758667,0.24234454333782196
tsubasa_sidecar,gated,0.012570500373840332,0.9998123645782471,0.5207706689834595,0.2519237697124481
v121_class_selective_blend,0.40_on_gate,0.011144416406750679,0.9994698762893677,0.5223760008811951,0.24225406348705292
