class_name,active_rows,anchor_mean,final_mean
47158son17,36,0.6090324521064758,0.6151703596115112
516975,43,0.5049744844436646,0.5149088501930237
116570,51,0.6090144515037537,0.6114619374275208
47158son25,31,0.609270453453064,0.6169368028640747
chacha1,54,0.5090211033821106,0.5110014081001282
47158son10,58,0.6093769073486328,0.6170976758003235
47158son21,50,0.6086723804473877,0.6137766242027283
