primary_label,anchor_auc,candidate_auc,auc_delta,changed_rows,max_abs_delta,mean_abs_delta,followup_label
47158son21,0.987,0.9865,-0.0004999999999999449,50,0.11399138545173541,0.009114791507322728,True
116570,0.990990990990991,0.990990990990991,0.0,51,0.03463912375072928,0.004370585732264023,True
grekis,0.9915966386554622,0.9915966386554622,0.0,0,0.0,0.0,False
chacha1,0.9629629629629629,0.9629629629629629,0.0,54,0.029665805087555508,0.003536279028589596,True
47158son25,0.965311004784689,0.965311004784689,0.0,31,0.14145071703279838,0.01368981362963528,True
47158son23,0.9916512059369202,0.9916512059369202,0.0,0,0.0,0.0,False
47158son22,0.9897959183673469,0.9897959183673469,0.0,0,0.0,0.0,False
47158son20,0.9933277731442869,0.9933277731442869,0.0,0,0.0,0.0,False
47158son19,0.9892241379310345,0.9892241379310345,0.0,0,0.0,0.0,False
plcjay1,0.9495798319327731,0.9495798319327731,0.0,0,0.0,0.0,False
47158son18,0.9991659716430359,0.9991659716430359,0.0,0,0.0,0.0,False
47158son16,0.9949958298582152,0.9949958298582152,0.0,0,0.0,0.0,False
47158son15,0.9949958298582152,0.9949958298582152,0.0,0,0.0,0.0,False
47158son13,0.9907235621521335,0.9907235621521335,0.0,0,0.0,0.0,False
47158son11,0.9949958298582152,0.9949958298582152,0.0,0,0.0,0.0,False
47158son10,0.9974715549936789,0.9974715549936789,0.0,58,0.11652159654960434,0.013786979462081624,True
47158son08,0.994161801501251,0.994161801501251,0.0,0,0.0,0.0,False
47158son03,1.0,1.0,0.0,0,0.0,0.0,False
47158son01,0.9958298582151793,0.9958298582151793,0.0,0,0.0,0.0,False
47158son17,0.983125,0.983125,0.0,36,0.11046524425678717,0.010960590443791106,True
thlwre1,0.9830508474576272,0.9830508474576272,0.0,0,0.0,0.0,False
516975,0.7620416966211359,0.8267433501078361,0.0647016534867002,43,0.12445188233738624,0.01773991408673165,True
