primary_label,common_name,class_name,support,oof_base_auc,oof_prior_auc,support_bucket,macro_risk_action,w_anchor,w_sed,w_private_probe,w_cnn_sidecar,risk_rank
varant1,Variable Antshrike,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,149.44
watjac1,Wattled Jacana,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,150.45
wesfie1,Western Fire-eye,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,151.46
whbant2,White-bearded Antshrike,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,153.47
whbwar2,White-browed Warbler,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,154.48
whiwoo1,White Woodpecker,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,155.49
whlspi1,White-lored Spinetail,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,156.5
whnjay1,White-naped Jay,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,157.51
whwpic1,White-wedged Piculet,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,158.52
y00678,Crested Caracara,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,159.53
yebcar,Yellow-billed Cardinal,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,160.54
yebela1,Yellow-bellied Elaenia,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,161.55
yecmac,Golden-collared Macaw,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,162.56
yecpar,Yellow-chevroned Parakeet,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,163.57
yehcar1,Yellow-headed Caracara,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,164.58
yeofly1,Yellow-olive Flatbill,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,165.59
47144,Domestic Dog,Mammalia,30,0.8651708522025525,0.5030876904075752,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,193.99
25073,Chiasmocleis mehelyi,Amphibia,24,0.8673535933220294,0.3450502152080344,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,194.87
undtin1,Undulated Tinamou,Aves,86,0.8713570044246169,0.6544593556880096,mid_76_150,protect_anchor,0.7,0.2,0.1,0.0,196.2
47158son11,Insect sonotype11,Insecta,72,0.8911111111111111,0.8911111111111111,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,197.15
47158son13,Insect sonotype13,Insecta,72,0.8970370370370371,0.8970370370370371,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,198.16
22973,Whistling Grass Frog,Amphibia,426,0.9058906383620906,0.7142361285778963,high_151_plus,protect_anchor,0.7,0.2,0.1,0.0,199.32
65377,Lesser Tree Frog,Amphibia,18,0.9058928571428572,0.32,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,199.82
66971,Paraguayan Swimming Frog,Amphibia,298,0.92231917781656,0.8372503393445802,high_151_plus,protect_anchor,0.7,0.2,0.1,0.0,202.26
limpki,Limpkin,Aves,6,0.9234042553191488,0.4148936170212766,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,202.74
litnig1,Little Nightjar,Aves,74,0.9238608305274972,0.6516498316498317,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,204.17
555146,Chaco Tree Frog,Amphibia,420,0.927553248465373,0.7787047336546781,high_151_plus,protect_anchor,0.7,0.2,0.1,0.0,205.31
compot1,Common Potoo,Aves,6,0.9348441926345608,0.1940509915014164,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,205.72
65380,Dwarf Tree Frog,Amphibia,666,0.93799512987013,0.7898701298701298,high_151_plus,protect_anchor,0.7,0.2,0.1,0.0,207.34
rufhor2,Rufous Hornero,Aves,8,0.9435369318181818,0.4232954545454545,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,207.75
23158,Pale-legged Weeping Frog,Amphibia,350,0.944206204379562,0.6614279197080292,high_151_plus,protect_anchor,0.7,0.2,0.1,0.0,209.3
24279,Lesser Snouted Tree Frog,Amphibia,346,0.944312701194854,0.7708182974189779,high_151_plus,protect_anchor,0.7,0.2,0.1,0.0,210.29
116570,Southern Spectacled Caiman,Reptilia,26,0.9454022988505748,0.9454022988505748,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,210.95
47158son10,Insect sonotype10,Insecta,66,0.956047197640118,0.956047197640118,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,212.12
purjay1,Purplish Jay,Aves,10,0.9577414772727272,0.9538352272727272,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,212.79
bafcur1,Bare-faced Curassow,Aves,18,0.9623271340009536,0.3798283261802575,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,213.84
326272,Weeping Frog,Amphibia,46,0.9628279883381924,0.9810495626822158,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,215.04
47158son19,Insect sonotype19,Insecta,10,0.9644886363636364,0.9644886363636364,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,215.77
chacha1,Chaco Chachalaca,Aves,130,0.9657621895484578,0.8240448147084172,mid_76_150,protect_anchor,0.7,0.2,0.1,0.0,217.23
fusfly1,Fuscous Flycatcher,Aves,6,0.9659574468085106,0.3978723404255319,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,217.73
47158son06,Insect sonotype06,Insecta,36,0.973627167630058,0.973627167630058,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,219.02
47158son17,Insect sonotype17,Insecta,86,0.9738023952095808,0.9738023952095808,mid_76_150,protect_anchor,0.7,0.2,0.1,0.0,220.19
47158son25,Insect sonotype25,Insecta,168,0.9754358161648178,0.9754358161648178,high_151_plus,protect_anchor,0.7,0.2,0.1,0.0,221.25
compau,Pauraque,Aves,76,0.976851851851852,0.8311011904761905,mid_76_150,protect_anchor,0.7,0.2,0.1,0.0,222.18
43435,Black Howling Monkey,Mammalia,24,0.985391939480892,0.3536585365853658,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,222.88
magant1,Mato Grosso Antbird,Aves,10,0.9900426742532006,0.9625889046941678,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,223.78
whtdov,White-tipped Dove,Aves,126,0.990756461045086,0.9478939283693104,mid_76_150,protect_anchor,0.7,0.2,0.1,0.0,225.22
hyamac1,Hyacinth Macaw,Aves,20,0.9907804800508664,0.1223175965665236,low_5_20,protect_anchor,0.7,0.2,0.1,0.0,225.85
bufpar,Turquoise-fronted Amazon,Aves,28,0.9934698395130048,0.0942446043165467,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,226.98
orwpar,Orange-winged Amazon,Aves,26,0.9952107279693486,0.9533045977011494,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,227.97
47158son07,Insect sonotype07,Insecta,96,0.9969879518072288,0.9969879518072288,mid_76_150,protect_anchor,0.7,0.2,0.1,0.0,229.21
47158son21,Insect sonotype21,Insecta,44,0.997093023255814,0.997093023255814,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,230.03
chvcon1,Chestnut-vented Conebill,Aves,70,0.9973650147928994,0.9795673076923076,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,231.13
47158son22,Insect sonotype22,Insecta,48,0.998542274052478,0.998542274052478,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,232.07
47158son23,Insect sonotype23,Insecta,48,0.998542274052478,0.998542274052478,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,233.08
47158son24,Insect sonotype24,Insecta,48,0.998542274052478,0.998542274052478,mid_21_75,protect_anchor,0.7,0.2,0.1,0.0,234.09
