candidate,safe_weight,bold_weight,macro_auc,macro_gain,weak_followup_auc,weak_followup_gain,fold_std,fold_std_delta,fold_min,top1_hit,top5_hit,corr_vs_anchor,changed_cells,max_abs_delta,mean_abs_delta,class_regressions_lt_001,material_class_regressions_lt_003,worst_class_delta
safe1.00_bold0.00,1.0,0.0,0.9801837808440439,0.0028202241683551454,0.9587068774367526,0.008863561671973108,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999444686761522,98,0.12445188233738624,0.00010696167918888537,0,0,-0.0004999999999999449
safe0.95_bold0.05,0.95,0.05,0.9801511032412727,0.002787546565583998,0.9586041763994722,0.008760860634692613,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.999944214133893,323,0.12445188233738624,0.00011725439734279758,0,0,-0.0004999999999999449
safe0.90_bold0.10,0.9,0.1,0.9803144912551282,0.0029509345794394015,0.9591176815858745,0.009274365821094976,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999434187843788,323,0.12445188233738624,0.0001275471154966841,0,0,-0.0004999999999999449
safe0.85_bold0.15,0.85,0.15,0.9803144912551282,0.0029509345794394015,0.9591176815858745,0.009274365821094976,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999420825115035,323,0.12445188233738624,0.00013783983365056734,0,0,-0.0004999999999999449
safe0.80_bold0.20,0.8,0.2,0.9804452016662123,0.0030816449905235466,0.9595284857349963,0.009685169970216734,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999402052017662,323,0.12445188233738624,0.00014813255180448154,0,0,-0.0004999999999999449
safe0.75_bold0.25,0.75,0.25,0.9803798464606701,0.003016289784981363,0.9593230836604354,0.009479767895655855,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999377867442809,323,0.12445188233738624,0.0001584252699583477,0,0,-0.0004999999999999449
safe0.70_bold0.30,0.7,0.3,0.9804125240634413,0.0030489673877525103,0.9594257846977159,0.00958246893293635,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999348270307676,323,0.12445188233738624,0.00016871798811224933,0,0,-0.0004999999999999449
safe0.65_bold0.35,0.65,0.35,0.9803471688578991,0.0029836121822103268,0.9592203826231549,0.00937706685837536,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999313259555649,323,0.12445188233738624,0.00017901070626615608,0,0,-0.0004999999999999449
safe0.60_bold0.40,0.6,0.4,0.9803798464606701,0.003016289784981363,0.9593230836604354,0.009479767895655855,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999272834156258,323,0.12445188233738624,0.00018930342442002946,0,0,-0.0004999999999999449
safe0.55_bold0.45,0.55,0.45,0.9803144912551282,0.0029509345794394015,0.9591176815858745,0.009274365821094976,0.1533664525129793,-0.0018808458385290716,0.4743265993265993,0.273972602739726,0.5068493150684932,0.9999226993105189,323,0.12445188233738624,0.00019959614257394434,0,0,-0.0004999999999999449
