candidate,name,source,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
yuki16_bird_clef2026_perch_prot_vectormlp_fattail_sed_v3,submission,/tmp/bc26_outputs_turn9/yuki16_bird_clef2026_perch_prot_vectormlp_fattail_sed_v3/submission.csv,240,234,614,41,0.98796316,0.96102445,0.39655172,0.75862069,0.00375,1.0,0.5015264,0.25117491
yuki16_bird_clef2026_perch_prot_vectormlp_fattail_sed_v3,submission_protossm,/tmp/bc26_outputs_turn9/yuki16_bird_clef2026_perch_prot_vectormlp_fattail_sed_v3/submission_protossm.csv,240,234,614,41,0.97946947,0.914409,0.5,0.75862069,0.00000003,0.99854195,0.12778741,0.17444502
yuki16_bird_clef2026_perch_prot_vectormlp_fattail_sed_v3,submission_sed,/tmp/bc26_outputs_turn9/yuki16_bird_clef2026_perch_prot_vectormlp_fattail_sed_v3/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
beicicc_birdclef2026_kosuke_convnext_may12,submission,/tmp/bc26_outputs_turn9/beicicc_birdclef2026_kosuke_convnext_may12/submission.csv,240,234,614,41,0.98796316,0.96102445,0.39655172,0.75862069,0.00375,1.0,0.5015264,0.25117491
beicicc_birdclef2026_kosuke_convnext_may12,submission_protossm,/tmp/bc26_outputs_turn9/beicicc_birdclef2026_kosuke_convnext_may12/submission_protossm.csv,240,234,614,41,0.97946947,0.914409,0.5,0.75862069,0.00000003,0.99854195,0.12778741,0.17444502
beicicc_birdclef2026_kosuke_convnext_may12,submission_sed,/tmp/bc26_outputs_turn9/beicicc_birdclef2026_kosuke_convnext_may12/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
ulyanovantonamaranta_birdclef_2026_gate_f008_mirrorrare_rt010,submission_protossm,/tmp/bc26_outputs_turn9/ulyanovantonamaranta_birdclef_2026_gate_f008_mirrorrare_rt010/submission_protossm.csv,240,234,614,41,0.97473394,0.90292727,0.4137931,0.58045977,0.00000003,0.99738073,0.12386984,0.16657626
ulyanovantonamaranta_birdclef_2026_gate_f008_mirrorrare_rt010,submission_sed,/tmp/bc26_outputs_turn9/ulyanovantonamaranta_birdclef_2026_gate_f008_mirrorrare_rt010/submission_sed.csv,240,234,614,41,0.99206224,0.99865115,0.97701149,0.99425287,0.00002194,0.97485524,0.01260964,0.07037281
