name,macro,micro,top1,top5,mean,std
v103,0.9890645482107341,0.9288554885813267,0.3835616438356164,0.7123287671232876,0.5066024459479345,0.2599117338356002
rank_v107_0.1_v109_0.9,0.9796358674496954,0.895126561502029,0.1095890410958904,0.4383561643835616,0.5041666666666667,0.28820333916009894
v109,0.9796345985916683,0.9132559151800739,0.2328767123287671,0.4794520547945205,0.5207816648783119,0.24279365655965784
prob_v107_0.0_v109_1.0,0.9796345985916683,0.9132559151800739,0.2328767123287671,0.4794520547945205,0.5207816648783119,0.24279365655965784
rank_v107_0.0_v109_1.0,0.9796345985916683,0.8949372292551746,0.1095890410958904,0.4383561643835616,0.5041666666666667,0.28866508527658796
rank_v107_0.2_v109_0.8,0.9796139599455195,0.895114882849306,0.1095890410958904,0.4246575342465753,0.5041666666666667,0.287843688998829
prob_v107_0.1_v109_0.9,0.9795415868977977,0.9138144194196549,0.2328767123287671,0.4657534246575342,0.5208693020192878,0.2425531764107037
prob_v107_0.2_v109_0.8,0.9794788191606817,0.9142723606791384,0.2328767123287671,0.5068493150684932,0.5209569391602635,0.24239806912418305
rank_v107_0.3_v109_0.7,0.9793926483800839,0.8951025138328751,0.1095890410958904,0.4383561643835616,0.5041666666666667,0.28758651783073985
prob_v107_0.3_v109_0.7,0.9793897080646754,0.9146070720167859,0.2191780821917808,0.5068493150684932,0.5210445763012392,0.24232849863406475
rank_v107_0.4_v109_0.6,0.9792742713157654,0.8947838534514331,0.1095890410958904,0.4383561643835616,0.5041666666666667,0.2874321007258908
prob_v107_0.4_v109_0.6,0.9791120435267349,0.9148162522202384,0.2191780821917808,0.5205479452054794,0.521132213442215,0.24234453860618566
v108,0.9788100007565887,0.8269341028280635,0.0,0.0821917808219178,0.5100219325670228,0.2330742041649346
rank_v107_0.5_v109_0.5,0.9787981858029794,0.8947524419027298,0.0958904109589041,0.4520547945205479,0.5041666666666667,0.28738060332165627
prob_v107_0.5_v109_0.5,0.9786800811463364,0.9148832174998915,0.2054794520547945,0.5068493150684932,0.5212198505831909,0.24244617204886434
prob_v107_0.6_v109_0.4,0.9784314491796979,0.9147606779417634,0.2465753424657534,0.5205479452054794,0.5213074877241667,0.24263329140278228
rank_v107_0.6_v109_0.4,0.978373336678041,0.89444494240123,0.0821917808219178,0.4520547945205479,0.5041666666666667,0.28743208093647443
prob_v107_0.7_v109_0.3,0.9781399722708486,0.914487063792253,0.2602739726027397,0.5205479452054794,0.5213951248651424,0.24290569910902626
rank_v107_0.7_v109_0.3,0.9779614739249497,0.8938034794560993,0.0821917808219178,0.4657534246575342,0.5041666666666667,0.28758647827315725
prob_v107_0.8_v109_0.2,0.9778572214738801,0.914094937206243,0.2602739726027397,0.5205479452054794,0.5214827620061182,0.2432631086483102
rank_v107_0.8_v109_0.2,0.9777084072230323,0.8933636027136357,0.0821917808219178,0.4657534246575342,0.5041666666666667,0.2878436297154665
prob_v107_0.9_v109_0.1,0.9776120102012111,0.9135612860601415,0.2465753424657534,0.5205479452054794,0.521570399147094,0.24370514603867466
rank_v107_0.9_v109_0.1,0.977406979087607,0.8927202987986176,0.0821917808219178,0.4794520547945205,0.5041666666666667,0.28820326021425297
v107,0.9773635566756887,0.9128266815447716,0.273972602739726,0.5068493150684932,0.5216580362880697,0.2442313517735209
prob_v107_1.0_v109_0.0,0.9773635566756887,0.9128266815447716,0.273972602739726,0.5068493150684932,0.5216580362880697,0.2442313517735209
rank_v107_1.0_v109_0.0,0.9773635566756887,0.8919757415397941,0.0684931506849315,0.4794520547945205,0.5041666666666667,0.2886649867521285
