candidate,reference,status,pearson,mad,max_abs
v127,v110,ok,0.9966463122552696,0.0022959055974358976,0.35419636000000004
v127,v114,ok,0.9962285328638458,0.003580539183796296,0.35419636000000004
v127,v125_best_proxy_ref_v112,ok,0.783986640511483,0.12341658157624642,0.8502787199999999
v127,v125_best_proxy_ref_v119,ok,0.7224412116221456,0.14718957206463673,0.85729692
