name,formula,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,classes_mixed,sources_used,selected_classes,min,max,mean,std
v114_clean_selfblend_router_m-0.04_w0.18_prob,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.18;mode=prob;support_shrink=log1p,0.97951890,0.91768730,0.23287671,0.52054795,22,0.99972573,0.00082173,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52110047,0.24166716
v114_clean_selfblend_router_m-0.04_w0.7_norm_residual,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.7;mode=norm_residual;support_shrink=log1p,0.97951890,0.91725755,0.23287671,0.52054795,22,0.99976444,0.00074180,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52122142,0.24163525
v114_clean_selfblend_router_m-0.02_w0.18_prob,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.18;mode=prob;support_shrink=log1p,0.97951890,0.91743682,0.23287671,0.52054795,22,0.99974472,0.00074101,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52110649,0.24165824
v114_clean_selfblend_router_m-0.02_w0.7_norm_residual,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.7;mode=norm_residual;support_shrink=log1p,0.97951890,0.91712696,0.23287671,0.52054795,22,0.99977232,0.00068900,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52119338,0.24163965
v114_clean_selfblend_router_m0_w0.18_prob,per_class_best_non_tsubasa_side;margin=0.0;weight=0.18;mode=prob;support_shrink=log1p,0.97951890,0.91689816,0.23287671,0.52054795,22,0.99977011,0.00061728,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946620,0.52110880,0.24165924
v114_clean_selfblend_router_m0_w0.7_norm_residual,per_class_best_non_tsubasa_side;margin=0.0;weight=0.7;mode=norm_residual;support_shrink=log1p,0.97951890,0.91681152,0.23287671,0.52054795,22,0.99978496,0.00059692,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946620,0.52115642,0.24165376
v114_clean_selfblend_router_m-0.04_w0.35_rankcal_ranklead,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.35;mode=rankcal_ranklead;support_shrink=log1p,0.97949782,0.91766613,0.23287671,0.52054795,22,0.99963687,0.00064362,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52175928,0.24171503
v114_clean_selfblend_router_m0_w0.35_rankcal_ranklead,per_class_best_non_tsubasa_side;margin=0.0;weight=0.35;mode=rankcal_ranklead;support_shrink=log1p,0.97949782,0.91710694,0.23287671,0.52054795,22,0.99966012,0.00053853,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946620,0.52165420,0.24174548
v110_clean_router_m-0.04_w0.5_rankcal_ranklead,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.5;mode=rankcal_ranklead;support_shrink=log1p,0.97949647,0.91786473,0.21917808,0.52054795,22,0.99924660,0.00093923,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946990,0.52207145,0.24210013
v110_clean_router_m0_w0.5_rankcal_ranklead,per_class_best_non_tsubasa_side;margin=0.0;weight=0.5;mode=rankcal_ranklead;support_shrink=log1p,0.97949647,0.91674260,0.21917808,0.52054795,22,0.99930849,0.00076944,6,v112_backtracking_remap;v119_roniheka_hgnet,47158son01;47158son13;47158son21;47158son22;47158son23;plcjay1,0.01114442,0.99946990,0.52190166,0.24214614
v110_clean_router_m0.01_w0.5_rankcal,per_class_best_non_tsubasa_side;margin=0.01;weight=0.5;mode=rankcal;support_shrink=log1p,0.97949401,0.91483777,0.21917808,0.52054795,22,0.99999201,0.00004813,1,v119_roniheka_hgnet,plcjay1,0.01114442,0.99946990,0.52113223,0.24233099
v110_clean_router_m0.01_w0.7_prob,per_class_best_non_tsubasa_side;margin=0.01;weight=0.7;mode=prob;support_shrink=log1p,0.97949401,0.91483213,0.21917808,0.52054795,22,0.99998170,0.00007659,1,v119_roniheka_hgnet,plcjay1,0.01114442,0.99946990,0.52113031,0.24234020
v110_clean_router_m0.01_w0.7_rankcal,per_class_best_non_tsubasa_side;margin=0.01;weight=0.7;mode=rankcal;support_shrink=log1p,0.97949401,0.91484329,0.21917808,0.52054795,22,0.99998434,0.00006738,1,v119_roniheka_hgnet,plcjay1,0.01114442,0.99946990,0.52113223,0.24232665
v110_clean_router_m0.02_w0.5_rankcal,per_class_best_non_tsubasa_side;margin=0.02;weight=0.5;mode=rankcal;support_shrink=log1p,0.97949401,0.91483777,0.21917808,0.52054795,22,0.99999201,0.00004813,1,v119_roniheka_hgnet,plcjay1,0.01114442,0.99946990,0.52113223,0.24233099
v110_clean_router_m0.02_w0.7_prob,per_class_best_non_tsubasa_side;margin=0.02;weight=0.7;mode=prob;support_shrink=log1p,0.97949401,0.91483213,0.21917808,0.52054795,22,0.99998170,0.00007659,1,v119_roniheka_hgnet,plcjay1,0.01114442,0.99946990,0.52113031,0.24234020
v110_clean_router_m0.02_w0.7_rankcal,per_class_best_non_tsubasa_side;margin=0.02;weight=0.7;mode=rankcal;support_shrink=log1p,0.97949401,0.91484329,0.21917808,0.52054795,22,0.99998434,0.00006738,1,v119_roniheka_hgnet,plcjay1,0.01114442,0.99946990,0.52113223,0.24232665
v114_clean_selfblend_router_m-0.04_w0.12_prob,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.12;mode=prob;support_shrink=log1p,0.97949192,0.91706155,0.23287671,0.52054795,22,0.99987818,0.00054782,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52110553,0.24173668
v114_clean_selfblend_router_m-0.04_w0.5_norm_residual,per_class_best_non_tsubasa_side;margin=-0.04;weight=0.5;mode=norm_residual;support_shrink=log1p,0.97949192,0.91683171,0.23287671,0.52054795,22,0.99987989,0.00052986,22,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son15;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52119121,0.24170496
v114_clean_selfblend_router_m-0.02_w0.12_prob,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.12;mode=prob;support_shrink=log1p,0.97949192,0.91689137,0.23287671,0.52054795,22,0.99988662,0.00049400,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52110955,0.24173175
v114_clean_selfblend_router_m-0.02_w0.5_norm_residual,per_class_best_non_tsubasa_side;margin=-0.02;weight=0.5;mode=norm_residual;support_shrink=log1p,0.97949192,0.91673897,0.23287671,0.52054795,22,0.99988391,0.00049214,21,v112_backtracking_remap;v113_lantingguo_melnorm;v119_roniheka_hgnet,116570;47158son01;47158son03;47158son08;47158son10;47158son11;47158son13;47158son16;47158son17;47158son18;47158son19;47158son20;47158son21;47158son22;47158son23;47158son25;516975;chacha1;grekis;plcjay1;thlwre1,0.01114442,0.99946620,0.52117117,0.24170849
