name,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,min,max,mean,std,kind,params,classes_mixed
v114_v116_cls_margin-0.02_w0.15_none,0.9824302477123993,0.9188292789231615,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5210933562497276,0.24175484233572322,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.15;gate=none,10
v114_v116_cls_margin-0.02_w0.3_side_gt_anchor,0.9823491935934012,0.9234559239016688,0.2465753424657534,0.5205479452054794,22,0.011144416,0.9994662,0.5220528367726283,0.24180105742746114,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.3;gate=side_gt_anchor,10
v110_v116_cls_margin-0.02_w0.4_side_rank_top,0.982343092218628,0.923224076756478,0.2328767123287671,0.5205479452054794,22,0.011144416,0.9994699,0.5214283531191596,0.2424931448884293,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.4;gate=side_rank_top,10
v114_v116_cls_margin-0.02_w0.4_side_rank_top,0.9823183348409295,0.9240091928831325,0.2465753424657534,0.5205479452054794,22,0.011144416,0.9994662,0.5214119969443376,0.2420697237745205,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.4;gate=side_rank_top,10
v110_v116_cls_margin-0.02_w0.15_anchor_not_top5,0.9823165165728134,0.9180366838563394,0.2191780821917808,0.5205479452054794,22,0.011144416,0.9994699,0.5211111944634953,0.24218491674447967,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.15;gate=anchor_not_top5,10
v110_v116_cls_margin-0.02_w0.15_none,0.9823165165728134,0.9179549908175874,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.5211084326719355,0.24217962431144024,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.15;gate=none,10
v110_v116_cls_margin-0.02_w0.3_side_gt_anchor,0.9823112832135391,0.922636174529008,0.2328767123287671,0.5205479452054794,22,0.011144416,0.9994699,0.52206506411849,0.24222527637103616,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.3;gate=side_gt_anchor,10
v114_v116_cls_margin-0.02_w0.3_none,0.9822735647641043,0.9215898132692737,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5210710477388782,0.24175021012281553,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.3;gate=none,10
v114_v116_cls_margin-0.02_w0.25_side_rank_top,0.982239799196729,0.9210820507622133,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5213008723754273,0.24199624407622913,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.25;gate=side_rank_top,10
v110_v116_cls_margin-0.02_w0.3_none,0.9822356543842422,0.9207606289259402,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.5210846394373896,0.24217466150701059,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.3;gate=none,10
v114_v116_cls_margin-0.02_w0.35_anchor_not_top5,0.9822047969534399,0.9226647095622622,0.2328767123287671,0.5205479452054794,22,0.011144416,0.9994662,0.5210709596000944,0.2417978546141509,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.35;gate=anchor_not_top5,10
v110_v116_cls_margin-0.02_w0.35_anchor_not_top5,0.9822047969534399,0.9218760265564508,0.2191780821917808,0.5205479452054794,22,0.011144416,0.9994699,0.5210831525395139,0.24222061908064696,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.35;gate=anchor_not_top5,10
v110_v116_cls_margin-0.02_w0.25_side_rank_top,0.9821260680571431,0.9202350320230959,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.5213173054144052,0.24242014390260172,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.25;gate=side_rank_top,10
v114_v116_cls_margin-0.02_w0.35_side_rank_top,0.9820602029376342,0.923051543359846,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5213749554213676,0.24204292424383675,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.35;gate=side_rank_top,10
v110_v116_cls_margin-0.02_w0.35_side_rank_top,0.9820602029376342,0.9222485928374075,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.5213913372175748,0.24246650912626552,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.35;gate=side_rank_top,10
v114_v116_cls_margin-0.02_w0.3_side_rank_top,0.9819797175428618,0.9220666244701027,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5213379138983975,0.24201843077766638,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.3;gate=side_rank_top,10
v114_v116_cls_margin-0.02_w0.25_side_gt_anchor,0.9819722358812283,0.9222293777142081,0.2465753424657534,0.5205479452054794,22,0.011144416,0.9994662,0.5218966414372864,0.24179938691075328,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.25;gate=side_gt_anchor,10
v110_v116_cls_margin-0.02_w0.3_side_rank_top,0.981941807163,0.9212396262785104,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.52135432131599,0.24244217523326367,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.3;gate=side_rank_top,10
v110_v116_cls_margin-0.02_w0.25_side_gt_anchor,0.9818585047416424,0.9213878818847527,0.2328767123287671,0.5205479452054794,22,0.011144416,0.9994699,0.5219095910831553,0.24222373448084902,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.25;gate=side_gt_anchor,10
v114_v116_cls_margin-0.02_w0.35_none,0.9818228259832336,0.9224552992375739,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.521063611568595,0.24178433404723534,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.35;gate=none,10
v110_v116_cls_margin-0.02_w0.35_none,0.9818228259832336,0.9216532692000791,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.5210767083592077,0.24220856434547994,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.35;gate=none,10
v110_v116_cls_margin-0.02_w0.4_anchor_not_top5,0.9817377458301358,0.9227724638309824,0.2191780821917808,0.5342465753424658,22,0.011144416,0.9994699,0.5210761420585185,0.24227392682457055,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.4;gate=anchor_not_top5,10
v114_v116_cls_margin-0.02_w0.4_anchor_not_top5,0.9817129884524374,0.9235383648344375,0.2328767123287671,0.5342465753424658,22,0.011144416,0.9994662,0.5210645731485969,0.24185163990717434,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.4;gate=anchor_not_top5,10
v114_v116_cls_margin-0.02_w0.2_side_rank_top,0.9817040203755859,0.9200610028384304,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5212638308524573,0.24197636477404355,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.2;gate=side_rank_top,10
v114_v116_cls_margin-0.02_w0.1_anchor_not_top5,0.9816003549879073,0.9178757715821214,0.2328767123287671,0.5205479452054794,22,0.011144416,0.9994662,0.521102891857582,0.24179603059199967,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.1;gate=anchor_not_top5,10
v114_v116_cls_margin-0.02_w0.1_none,0.9816003549879073,0.9178291720318474,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5211007924200107,0.24179205326321204,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.1;gate=none,10
v110_v116_cls_margin-0.02_w0.2_side_rank_top,0.9815902892359998,0.9192039738255504,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.5212802895128205,0.24240041576210675,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.2;gate=side_rank_top,10
v114_v116_cls_margin-0.02_w0.18_side_rank_top,0.9815596850700498,0.9196258435813032,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5212490142432692,0.2419690592545671,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.18;gate=side_rank_top,10
v114_v116_cls_margin-0.02_w0.12_anchor_not_top5,0.9815581127006271,0.9182858476245332,0.2328767123287671,0.5205479452054794,22,0.011144416,0.9994662,0.5211003372769829,0.2417797917273674,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.12;gate=anchor_not_top5,10
v114_v116_cls_margin-0.02_w0.12_none,0.9815581127006271,0.9182267064669015,0.2465753424657534,0.5068493150684932,22,0.011144416,0.9994662,0.5210978179518975,0.2417750295835177,class_selective_prob,anchor=v114;side=v116;margin=-0.02;w=0.12;gate=none,10
v110_v116_cls_margin-0.02_w0.1_anchor_not_top5,0.9814866238483212,0.9170134497808152,0.2191780821917808,0.5205479452054794,22,0.011144416,0.9994699,0.5211182049444908,0.2422203831329548,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.1;gate=anchor_not_top5,10
v110_v116_cls_margin-0.02_w0.1_none,0.9814866238483212,0.9169609821390252,0.2191780821917808,0.5068493150684932,22,0.011144416,0.9994699,0.5211163637501175,0.24221683447197428,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.1;gate=none,10
v110_v116_cls_margin-0.02_w0.18_side_rank_top,0.9814459539304639,0.918775027841793,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.5212654831521867,0.24239316952733078,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.18;gate=side_rank_top,10
v110_v116_cls_margin-0.02_w0.12_anchor_not_top5,0.9814443815610411,0.9174222601564295,0.2191780821917808,0.5205479452054794,22,0.011144416,0.9994699,0.5211154007520926,0.2422040664077132,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.12;gate=anchor_not_top5,10
v110_v116_cls_margin-0.02_w0.12_none,0.9814443815610411,0.9173577111497536,0.2328767123287671,0.5068493150684932,22,0.011144416,0.9994699,0.5211131913188447,0.24219981775496593,class_selective_prob,anchor=v110;side=v116;margin=-0.02;w=0.12;gate=none,10
