name,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,active_cells,min,max,anchor,validation,mode,weight,classes
v130_v114_clean_selfblend_blocked_positive_w0.5,0.97968592,0.91792134,0.23287671,0.52054795,22,0.99954737,0.00047183,176,0.01114442,0.99946620,v114_clean_selfblend,blocked,positive,0.5,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_top5_or_positive_w0.5,0.97968592,0.91749734,0.23287671,0.52054795,22,0.99954332,0.00048101,185,0.01114442,0.99946620,v114_clean_selfblend,blocked,top5_or_positive,0.5,47158son13;47158son22;47158son23
v130_v110_clean_blocked_top5_or_positive_w0.7,0.97968128,0.91707604,0.21917808,0.52054795,22,0.99910799,0.00067354,185,0.01114442,0.99946990,v110_clean,blocked,top5_or_positive,0.7,47158son13;47158son22;47158son23
v130_v110_clean_same_positive_w0.9,0.97968128,0.91769415,0.21917808,0.52054795,22,0.99875127,0.00077595,179,0.01114442,0.99946990,v110_clean,same_row,positive,0.9,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_positive_w0.7,0.97966484,0.91807345,0.23287671,0.52054795,22,0.99924193,0.00060337,179,0.01114442,0.99946620,v114_clean_selfblend,same_row,positive,0.7,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_top5_or_positive_w0.7,0.97966484,0.91744188,0.23287671,0.52054795,22,0.99923552,0.00061649,190,0.01114442,0.99946620,v114_clean_selfblend,same_row,top5_or_positive,0.7,47158son13;47158son22;47158son23
v130_v110_clean_blocked_top5_or_positive_w0.9,0.97963911,0.91744941,0.21917808,0.52054795,22,0.99852574,0.00086597,185,0.01114442,0.99946990,v110_clean,blocked,top5_or_positive,0.9,47158son13;47158son22;47158son23
v130_v110_clean_same_top5_or_positive_w0.9,0.97961803,0.91680956,0.21917808,0.52054795,22,0.99874065,0.00079282,190,0.01114442,0.99946990,v110_clean,same_row,top5_or_positive,0.9,47158son13;47158son22;47158son23
v130_v110_clean_blocked_positive_w0.5,0.97959695,0.91701610,0.21917808,0.52054795,22,0.99954894,0.00047192,176,0.01114442,0.99946990,v110_clean,blocked,positive,0.5,47158son13;47158son22;47158son23
v130_v110_clean_blocked_top5_or_positive_w0.5,0.97959695,0.91658542,0.21917808,0.52054795,22,0.99954490,0.00048110,185,0.01114442,0.99946990,v110_clean,blocked,top5_or_positive,0.5,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_full_w0.2,0.97958051,0.91615717,0.23287671,0.52054795,22,0.99983354,0.00038909,360,0.01114442,0.99946620,v114_clean_selfblend,blocked,full,0.2,47158son13;47158son22;47158son23
v130_v110_clean_same_positive_w0.7,0.97957587,0.91717223,0.21917808,0.52054795,22,0.99924447,0.00060352,180,0.01114442,0.99946990,v110_clean,same_row,positive,0.7,47158son13;47158son22;47158son23
v130_v110_clean_same_top5_or_positive_w0.7,0.97957587,0.91653261,0.21917808,0.52054795,22,0.99923808,0.00061664,191,0.01114442,0.99946990,v110_clean,same_row,top5_or_positive,0.7,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_positive_w0.5,0.97955943,0.91747985,0.23287671,0.52054795,22,0.99961324,0.00043098,180,0.01114442,0.99946620,v114_clean_selfblend,same_row,positive,0.5,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_top5_or_positive_w0.5,0.97955943,0.91706908,0.23287671,0.52054795,22,0.99960999,0.00044035,191,0.01114442,0.99946620,v114_clean_selfblend,same_row,top5_or_positive,0.5,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_positive_w0.35,0.97953834,0.91731290,0.23287671,0.52054795,22,0.99977824,0.00033028,176,0.01114442,0.99946620,v114_clean_selfblend,blocked,positive,0.35,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_blocked_top5_or_positive_w0.35,0.97953834,0.91705286,0.23287671,0.52054795,22,0.99977626,0.00033671,185,0.01114442,0.99946620,v114_clean_selfblend,blocked,top5_or_positive,0.35,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_full_w0.2,0.97951726,0.91615958,0.23287671,0.52054795,22,0.99986268,0.00034478,360,0.01114442,0.99946620,v114_clean_selfblend,same_row,full,0.2,47158son13;47158son22;47158son23
v130_v114_clean_selfblend_same_positive_w0.35,0.97951726,0.91697968,0.23287671,0.52054795,22,0.99981051,0.00030168,180,0.01114442,0.99946620,v114_clean_selfblend,same_row,positive,0.35,47158son13;47158son22;47158son23
