pair,corr,mad,max_abs
v108_vs_v104,0.994309704236873,0.006451234996866097,0.27207618999999994
v108_vs_v105,0.9940346622111426,0.006711843748646724,0.28582642999999996
v108_vs_v106,0.9885744636144835,0.010719820550284899,0.40658455000000004
v108_vs_v107,0.9759007799900358,0.017806208152101138,0.4625441
v108_vs_v103,0.7999618688885168,0.12467890666125356,0.6645237
