name,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,corr_vs_anchor,mad_vs_anchor,min,max,anchor,selected_count,active_cells,objective_top5,objective_macro,objective_micro
v110_clean_baseline,0.97911204,0.91481637,0.21917808,0.52054795,22,1.00000000,0.00000000,0.01114442,0.99946990,v110_clean,0,0,0.52054795,0.97911204,0.91481637
v131_v110_clean_step1_47158son13_v112_backtracking_remap_positive_w0.7,0.97932287,0.91578081,0.21917808,0.52054795,22,0.99965025,0.00023383,0.01114442,0.99946990,v110_clean,1,54,0.52054795,0.97932287,0.91578081
v131_v110_clean_step2_47158son22_v112_backtracking_remap_positive_w0.7,0.97951262,0.91679967,0.21917808,0.52054795,22,0.99938191,0.00044894,0.01114442,0.99946990,v110_clean,2,117,0.52054795,0.97951262,0.91679967
v131_v110_clean_step3_47158son23_v112_backtracking_remap_positive_w0.7,0.97970236,0.91772625,0.21917808,0.52054795,22,0.99911595,0.00066068,0.01114442,0.99946990,v110_clean,3,176,0.52054795,0.97970236,0.91772625
v114_clean_selfblend_baseline,0.97920102,0.91572402,0.23287671,0.52054795,22,1.00000000,0.00000000,0.01114442,0.99946620,v114_clean_selfblend,0,0,0.52054795,0.97920102,0.91572402
v131_v114_clean_selfblend_step1_47158son13_v112_backtracking_remap_positive_w0.7,0.97941185,0.91668340,0.23287671,0.52054795,22,0.99964902,0.00023383,0.01114442,0.99946620,v114_clean_selfblend,1,54,0.52054795,0.97941185,0.91668340
v131_v114_clean_selfblend_step2_47158son22_v112_backtracking_remap_positive_w0.7,0.97960159,0.91768880,0.23287671,0.52054795,22,0.99937977,0.00044882,0.01114442,0.99946620,v114_clean_selfblend,2,117,0.52054795,0.97960159,0.91768880
v131_v114_clean_selfblend_step3_47158son23_v112_backtracking_remap_positive_w0.7,0.97979134,0.91861043,0.23287671,0.52054795,22,0.99911288,0.00066056,0.01114442,0.99946620,v114_clean_selfblend,3,176,0.52054795,0.97979134,0.91861043
