name,formula,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
th0.02_sl0.2_diff_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91490278,0.21917808,0.52054795,0.01114442,0.99946946,0.52113067,0.24228243
th0.02_sl0.2_diff_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91491728,0.21917808,0.52054795,0.01114442,0.99946937,0.52113036,0.24227089
th0.02_sl0.2_diff_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91495099,0.21917808,0.52054795,0.01114442,0.99946920,0.52112973,0.24224869
th0.02_sl0.2_diff_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91499437,0.21917808,0.52054795,0.01114442,0.99946893,0.52112880,0.24221759
th0.02_sl0.2_diff_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91504718,0.21917808,0.52054795,0.01114442,0.99946858,0.52112755,0.24218023
th0.02_sl0.2_diff_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91508929,0.23287671,0.52054795,0.01114442,0.99946814,0.52112599,0.24214016
th0.02_sl0.2_eco_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91486918,0.21917808,0.52054795,0.01114442,0.99946931,0.52113160,0.24231073
th0.02_sl0.2_eco_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91489645,0.21917808,0.52054795,0.01114442,0.99946901,0.52113129,0.24229441
th0.02_sl0.2_eco_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91492222,0.21917808,0.52054795,0.01114442,0.99946871,0.52113098,0.24227846
th0.02_sl0.2_eco_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91494443,0.21917808,0.52054795,0.01114442,0.99946842,0.52113066,0.24226290
th0.02_sl0.2_eco_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91496330,0.23287671,0.52054795,0.01114442,0.99946812,0.52113035,0.24224772
th0.02_sl0.2_eco_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91500679,0.23287671,0.52054795,0.01114442,0.99946752,0.52112973,0.24221852
th0.02_sl0.2_eco_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91506007,0.23287671,0.52054795,0.01114442,0.99946663,0.52112879,0.24217760
th0.02_sl0.2_eco_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91512657,0.23287671,0.52054795,0.01114442,0.99946545,0.52112754,0.24212843
th0.02_sl0.2_eco_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91518479,0.23287671,0.52054795,0.01114442,0.99946396,0.52112598,0.24207563
th0.02_sl0.2_inv_eco_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91485675,0.21917808,0.52054795,0.01114442,0.99946933,0.52113246,0.24231746
th0.02_sl0.2_inv_eco_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91487965,0.21917808,0.52054795,0.01114442,0.99946904,0.52113257,0.24230429
