candidate,alpha,target_mode,blend_weight,min_delta,min_prior_rank,active_cells,macro_auc,macro_gain,micro_auc,top1_hit,top5_hit,fold_macro_mean,fold_macro_std,fold_macro_min,fold_std_delta,weak_followup_mean_auc,weak_followup_gain,corr_vs_anchor,corr_vs_v377_oracle,decision
alpha0.01_delta_bw1_d0.01_pr0.25,0.01000000,delta,1.00000000,0.01000000,0.25000000,174.00000000,0.97840450,0.00104095,0.91544138,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95311486,0.00327154,0.99992618,0.99982008,HOLD-no-promotion-gate
alpha0.01_delta_bw1_d0.01_pr0.5,0.01000000,delta,1.00000000,0.01000000,0.50000000,128.00000000,0.97840450,0.00104095,0.91544310,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95311486,0.00327154,0.99993458,0.99980765,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0_pr0,0.10000000,delta,1.00000000,0.00000000,0.00000000,315.00000000,0.97832334,0.00095978,0.91564762,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95285977,0.00301645,0.99992664,0.99982047,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0_pr0.25,0.10000000,delta,1.00000000,0.00000000,0.25000000,280.00000000,0.97832334,0.00095978,0.91564866,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95285977,0.00301645,0.99993049,0.99981999,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0_pr0.5,0.10000000,delta,1.00000000,0.00000000,0.50000000,200.00000000,0.97832334,0.00095978,0.91565061,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95285977,0.00301645,0.99993855,0.99980676,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.02_pr0,0.10000000,delta,1.00000000,0.02000000,0.00000000,139.00000000,0.97827774,0.00091418,0.91501916,0.30136986,0.50684932,0.76482552,0.15647432,0.47432660,0.00122702,0.95271646,0.00287314,0.99993127,0.99981204,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.02_pr0.25,0.10000000,delta,1.00000000,0.02000000,0.25000000,126.00000000,0.97827774,0.00091418,0.91501951,0.30136986,0.50684932,0.76482552,0.15647432,0.47432660,0.00122702,0.95271646,0.00287314,0.99993438,0.99981411,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.02_pr0.5,0.10000000,delta,1.00000000,0.02000000,0.50000000,102.00000000,0.97827774,0.00091418,0.91501985,0.30136986,0.50684932,0.76482552,0.15647432,0.47432660,0.00122702,0.95271646,0.00287314,0.99994081,0.99980246,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.01_pr0,10.00000000,delta,1.00000000,0.01000000,0.00000000,187.00000000,0.97827408,0.00091052,0.91421449,0.31506849,0.50684932,0.77482552,0.16759386,0.47432660,0.01234656,0.95270496,0.00286165,0.99996850,0.99978377,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.01_pr0.25,10.00000000,delta,1.00000000,0.01000000,0.25000000,166.00000000,0.97827408,0.00091052,0.91421483,0.31506849,0.50684932,0.77482552,0.16759386,0.47432660,0.01234656,0.95270496,0.00286165,0.99997096,0.99978012,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.01_pr0.5,10.00000000,delta,1.00000000,0.01000000,0.50000000,124.00000000,0.97827408,0.00091052,0.91421518,0.31506849,0.50684932,0.77482552,0.16759386,0.47432660,0.01234656,0.95270496,0.00286165,0.99997632,0.99976959,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.005_pr0,0.10000000,delta,1.00000000,0.00500000,0.00000000,245.00000000,0.97826985,0.00090629,0.91546876,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95269166,0.00284834,0.99992679,0.99981996,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.005_pr0.25,0.10000000,delta,1.00000000,0.00500000,0.25000000,216.00000000,0.97826985,0.00090629,0.91546968,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95269166,0.00284834,0.99993063,0.99981952,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.005_pr0.5,0.10000000,delta,1.00000000,0.00500000,0.50000000,155.00000000,0.97826985,0.00090629,0.91547129,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95269166,0.00284834,0.99993865,0.99980633,HOLD-no-promotion-gate
alpha0.01_delta_bw0.7_d0.01_pr0,0.01000000,delta,0.70000000,0.01000000,0.00000000,197.00000000,0.97822106,0.00085751,0.91468744,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95253834,0.00269503,0.99996189,0.99980642,HOLD-no-promotion-gate
alpha0.01_delta_bw0.7_d0.01_pr0.25,0.01000000,delta,0.70000000,0.01000000,0.25000000,174.00000000,0.97822106,0.00085751,0.91468790,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95253834,0.00269503,0.99996383,0.99980549,HOLD-no-promotion-gate
alpha0.01_delta_bw0.7_d0.01_pr0.5,0.01000000,delta,0.70000000,0.01000000,0.50000000,128.00000000,0.97822106,0.00085751,0.91468951,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95253834,0.00269503,0.99996795,0.99979503,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.01_pr0,0.10000000,delta,1.00000000,0.01000000,0.00000000,196.00000000,0.97820844,0.00084488,0.91535548,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95249865,0.00265534,0.99992760,0.99981838,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.01_pr0.25,0.10000000,delta,1.00000000,0.01000000,0.25000000,173.00000000,0.97820844,0.00084488,0.91535629,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95249865,0.00265534,0.99993133,0.99981796,HOLD-no-promotion-gate
alpha0.1_delta_bw1_d0.01_pr0.5,0.10000000,delta,1.00000000,0.01000000,0.50000000,129.00000000,0.97820844,0.00084488,0.91535790,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95249865,0.00265534,0.99993906,0.99980583,HOLD-no-promotion-gate
alpha1_delta_bw1_d0_pr0,1.00000000,delta,1.00000000,0.00000000,0.00000000,334.00000000,0.97820683,0.00084327,0.91514251,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95249361,0.00265029,0.99994639,0.99981204,HOLD-no-promotion-gate
alpha1_delta_bw1_d0_pr0.25,1.00000000,delta,1.00000000,0.00000000,0.25000000,287.00000000,0.97820683,0.00084327,0.91514297,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95249361,0.00265029,0.99994944,0.99981029,HOLD-no-promotion-gate
alpha1_delta_bw1_d0_pr0.5,1.00000000,delta,1.00000000,0.00000000,0.50000000,207.00000000,0.97820683,0.00084327,0.91514469,0.32876712,0.50684932,0.76250409,0.15700969,0.47432660,0.00176240,0.95249361,0.00265029,0.99995602,0.99979741,HOLD-no-promotion-gate
alpha0.01_delta_bw0.7_d0.02_pr0,0.01000000,delta,0.70000000,0.02000000,0.00000000,141.00000000,0.97819628,0.00083272,0.91448913,0.30136986,0.50684932,0.76536123,0.15584195,0.47432660,0.00059466,0.95246044,0.00261712,0.99996359,0.99980191,HOLD-no-promotion-gate
alpha0.01_delta_bw0.7_d0.02_pr0.25,0.01000000,delta,0.70000000,0.02000000,0.25000000,128.00000000,0.97819628,0.00083272,0.91448948,0.30136986,0.50684932,0.76536123,0.15584195,0.47432660,0.00059466,0.95246044,0.00261712,0.99996523,0.99980282,HOLD-no-promotion-gate
alpha0.01_delta_bw0.7_d0.02_pr0.5,0.01000000,delta,0.70000000,0.02000000,0.50000000,102.00000000,0.97819628,0.00083272,0.91448983,0.30136986,0.50684932,0.76536123,0.15584195,0.47432660,0.00059466,0.95246044,0.00261712,0.99996879,0.99979269,HOLD-no-promotion-gate
alpha0.1_delta_bw0.7_d0.01_pr0,0.10000000,delta,0.70000000,0.01000000,0.00000000,196.00000000,0.97818839,0.00082483,0.91462186,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95243564,0.00259232,0.99996453,0.99980400,HOLD-no-promotion-gate
alpha0.1_delta_bw0.7_d0.01_pr0.25,0.10000000,delta,0.70000000,0.01000000,0.25000000,173.00000000,0.97818839,0.00082483,0.91462232,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95243564,0.00259232,0.99996636,0.99980293,HOLD-no-promotion-gate
alpha0.1_delta_bw0.7_d0.01_pr0.5,0.10000000,delta,0.70000000,0.01000000,0.50000000,129.00000000,0.97818839,0.00082483,0.91462393,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95243564,0.00259232,0.99997014,0.99979282,HOLD-no-promotion-gate
alpha1_delta_bw0.7_d0.01_pr0,1.00000000,delta,0.70000000,0.01000000,0.00000000,196.00000000,0.97818839,0.00082483,0.91427794,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95243564,0.00259232,0.99997424,0.99979365,HOLD-no-promotion-gate
alpha1_delta_bw0.7_d0.01_pr0.25,1.00000000,delta,0.70000000,0.01000000,0.25000000,173.00000000,0.97818839,0.00082483,0.91427829,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95243564,0.00259232,0.99997564,0.99979199,HOLD-no-promotion-gate
alpha1_delta_bw0.7_d0.01_pr0.5,1.00000000,delta,0.70000000,0.01000000,0.50000000,129.00000000,0.97818839,0.00082483,0.91427898,0.32876712,0.50684932,0.76571837,0.15542818,0.47432660,0.00018088,0.95243564,0.00259232,0.99997872,0.99978217,HOLD-no-promotion-gate
alpha0.1_delta_bw0.7_d0.02_pr0,0.10000000,delta,0.70000000,0.02000000,0.00000000,139.00000000,0.97816360,0.00080004,0.91437948,0.30136986,0.50684932,0.76536123,0.15584195,0.47432660,0.00059466,0.95235774,0.00251442,0.99996632,0.99979880,HOLD-no-promotion-gate
alpha0.1_delta_bw0.7_d0.02_pr0.25,0.10000000,delta,0.70000000,0.02000000,0.25000000,126.00000000,0.97816360,0.00080004,0.91437983,0.30136986,0.50684932,0.76536123,0.15584195,0.47432660,0.00059466,0.95235774,0.00251442,0.99996785,0.99979959,HOLD-no-promotion-gate
alpha0.1_delta_bw0.7_d0.02_pr0.5,0.10000000,delta,0.70000000,0.02000000,0.50000000,102.00000000,0.97816360,0.00080004,0.91438017,0.30136986,0.50684932,0.76536123,0.15584195,0.47432660,0.00059466,0.95235774,0.00251442,0.99997100,0.99979009,HOLD-no-promotion-gate
alpha1_delta_bw1_d0.005_pr0,1.00000000,delta,1.00000000,0.00500000,0.00000000,251.00000000,0.97815334,0.00078978,0.91499885,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95232549,0.00248218,0.99994652,0.99981116,HOLD-no-promotion-gate
alpha1_delta_bw1_d0.005_pr0.25,1.00000000,delta,1.00000000,0.00500000,0.25000000,219.00000000,0.97815334,0.00078978,0.91499931,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95232549,0.00248218,0.99994954,0.99980954,HOLD-no-promotion-gate
alpha1_delta_bw1_d0.005_pr0.5,1.00000000,delta,1.00000000,0.00500000,0.50000000,158.00000000,0.97815334,0.00078978,0.91500104,0.32876712,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95232549,0.00248218,0.99995610,0.99979674,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.005_pr0,10.00000000,delta,1.00000000,0.00500000,0.00000000,273.00000000,0.97813942,0.00077587,0.91438748,0.31506849,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95228176,0.00243844,0.99996706,0.99979289,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.005_pr0.25,10.00000000,delta,1.00000000,0.00500000,0.25000000,228.00000000,0.97813942,0.00077587,0.91438794,0.31506849,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95228176,0.00243844,0.99996991,0.99978755,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.005_pr0.5,10.00000000,delta,1.00000000,0.00500000,0.50000000,167.00000000,0.97813942,0.00077587,0.91438932,0.31506849,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95228176,0.00243844,0.99997555,0.99977558,HOLD-no-promotion-gate
alpha10_delta_bw1_d0_pr0,10.00000000,delta,1.00000000,0.00000000,0.00000000,367.00000000,0.97813548,0.00077192,0.91458780,0.31506849,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95226936,0.00242604,0.99996683,0.99979415,HOLD-no-promotion-gate
alpha10_delta_bw1_d0_pr0.25,10.00000000,delta,1.00000000,0.00000000,0.25000000,301.00000000,0.97813548,0.00077192,0.91458826,0.31506849,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95226936,0.00242604,0.99996972,0.99978837,HOLD-no-promotion-gate
alpha10_delta_bw1_d0_pr0.5,10.00000000,delta,1.00000000,0.00000000,0.50000000,221.00000000,0.97813548,0.00077192,0.91458964,0.31506849,0.50684932,0.76232552,0.15721413,0.47432660,0.00196683,0.95226936,0.00242604,0.99997542,0.99977640,HOLD-no-promotion-gate
alpha1_delta_bw1_d0.01_pr0,1.00000000,delta,1.00000000,0.01000000,0.00000000,196.00000000,0.97812461,0.00076105,0.91487396,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95223519,0.00239188,0.99994743,0.99980954,HOLD-no-promotion-gate
alpha1_delta_bw1_d0.01_pr0.25,1.00000000,delta,1.00000000,0.01000000,0.25000000,173.00000000,0.97812461,0.00076105,0.91487430,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95223519,0.00239188,0.99995029,0.99980802,HOLD-no-promotion-gate
alpha1_delta_bw1_d0.01_pr0.5,1.00000000,delta,1.00000000,0.01000000,0.50000000,129.00000000,0.97812461,0.00076105,0.91487488,0.32876712,0.50684932,0.76214695,0.15742012,0.47432660,0.00217282,0.95223519,0.00239188,0.99995658,0.99979588,HOLD-no-promotion-gate
alpha10_delta_bw0.7_d0.01_pr0,10.00000000,delta,0.70000000,0.01000000,0.00000000,187.00000000,0.97810456,0.00074100,0.91380953,0.31506849,0.50684932,0.77071837,0.16039244,0.47432660,0.00514515,0.95217218,0.00232886,0.99998457,0.99977119,HOLD-no-promotion-gate
alpha10_delta_bw0.7_d0.01_pr0.25,10.00000000,delta,0.70000000,0.01000000,0.25000000,166.00000000,0.97810456,0.00074100,0.91380976,0.31506849,0.50684932,0.77071837,0.16039244,0.47432660,0.00514515,0.95217218,0.00232886,0.99998577,0.99976812,HOLD-no-promotion-gate
alpha10_delta_bw0.7_d0.01_pr0.5,10.00000000,delta,0.70000000,0.01000000,0.50000000,124.00000000,0.97810456,0.00074100,0.91381022,0.31506849,0.50684932,0.77071837,0.16039244,0.47432660,0.00514515,0.95217218,0.00232886,0.99998840,0.99975962,HOLD-no-promotion-gate
alpha0.01_delta_bw0.3_d0.01_pr0,0.01000000,delta,0.30000000,0.01000000,0.00000000,197.00000000,0.97785372,0.00049016,0.91364016,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999300,0.99976625,HOLD-no-promotion-gate
alpha0.01_delta_bw0.3_d0.01_pr0.25,0.01000000,delta,0.30000000,0.01000000,0.25000000,174.00000000,0.97785372,0.00049016,0.91364028,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999336,0.99976538,HOLD-no-promotion-gate
alpha0.01_delta_bw0.3_d0.01_pr0.5,0.01000000,delta,0.30000000,0.01000000,0.50000000,128.00000000,0.97785372,0.00049016,0.91364074,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999411,0.99975989,HOLD-no-promotion-gate
alpha0.01_delta_bw0.3_d0.02_pr0,0.01000000,delta,0.30000000,0.02000000,0.00000000,141.00000000,0.97785372,0.00049016,0.91355461,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999331,0.99976390,HOLD-no-promotion-gate
alpha0.01_delta_bw0.3_d0.02_pr0.25,0.01000000,delta,0.30000000,0.02000000,0.25000000,128.00000000,0.97785372,0.00049016,0.91355473,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999361,0.99976389,HOLD-no-promotion-gate
alpha0.01_delta_bw0.3_d0.02_pr0.5,0.01000000,delta,0.30000000,0.02000000,0.50000000,102.00000000,0.97785372,0.00049016,0.91355473,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999427,0.99975868,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0.01_pr0,10.00000000,delta,0.50000000,0.01000000,0.00000000,187.00000000,0.97785372,0.00049016,0.91353108,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999213,0.99975966,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0.01_pr0.25,10.00000000,delta,0.50000000,0.01000000,0.25000000,166.00000000,0.97785372,0.00049016,0.91353108,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999274,0.99975722,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0.01_pr0.5,10.00000000,delta,0.50000000,0.01000000,0.50000000,124.00000000,0.97785372,0.00049016,0.91353143,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95138383,0.00154052,0.99999408,0.99975061,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0.005_pr0,10.00000000,delta,0.50000000,0.00500000,0.00000000,273.00000000,0.97784580,0.00048224,0.91361680,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95135894,0.00151562,0.99999177,0.99976458,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0.005_pr0.25,10.00000000,delta,0.50000000,0.00500000,0.25000000,228.00000000,0.97784580,0.00048224,0.91361680,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95135894,0.00151562,0.99999248,0.99976119,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0.005_pr0.5,10.00000000,delta,0.50000000,0.00500000,0.50000000,167.00000000,0.97784580,0.00048224,0.91361784,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95135894,0.00151562,0.99999389,0.99975380,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0_pr0,0.10000000,delta,0.30000000,0.00000000,0.00000000,315.00000000,0.97781312,0.00044957,0.91369867,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999340,0.99976540,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0_pr0.25,0.10000000,delta,0.30000000,0.00000000,0.25000000,280.00000000,0.97781312,0.00044957,0.91369878,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999375,0.99976445,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0_pr0.5,0.10000000,delta,0.30000000,0.00000000,0.50000000,200.00000000,0.97781312,0.00044957,0.91369936,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999447,0.99975879,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.005_pr0,0.10000000,delta,0.30000000,0.00500000,0.00000000,245.00000000,0.97781312,0.00044957,0.91364724,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999341,0.99976521,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.005_pr0.25,0.10000000,delta,0.30000000,0.00500000,0.25000000,216.00000000,0.97781312,0.00044957,0.91364735,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999376,0.99976428,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.005_pr0.5,0.10000000,delta,0.30000000,0.00500000,0.50000000,155.00000000,0.97781312,0.00044957,0.91364781,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999448,0.99975864,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0_pr0,10.00000000,delta,0.50000000,0.00000000,0.00000000,367.00000000,0.97781312,0.00044957,0.91371875,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999171,0.99976526,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0_pr0.25,10.00000000,delta,0.50000000,0.00000000,0.25000000,301.00000000,0.97781312,0.00044957,0.91371898,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999243,0.99976165,HOLD-no-promotion-gate
alpha10_delta_bw0.5_d0_pr0.5,10.00000000,delta,0.50000000,0.00000000,0.50000000,221.00000000,0.97781312,0.00044957,0.91372013,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95125624,0.00141292,0.99999385,0.99975425,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.01_pr0,0.10000000,delta,0.30000000,0.01000000,0.00000000,196.00000000,0.97778837,0.00042481,0.91361496,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95117843,0.00133511,0.99999349,0.99976457,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.01_pr0.25,0.10000000,delta,0.30000000,0.01000000,0.25000000,173.00000000,0.97778837,0.00042481,0.91361508,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95117843,0.00133511,0.99999382,0.99976366,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.01_pr0.5,0.10000000,delta,0.30000000,0.01000000,0.50000000,129.00000000,0.97778837,0.00042481,0.91361554,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95117843,0.00133511,0.99999452,0.99975840,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.02_pr0,0.10000000,delta,0.30000000,0.02000000,0.00000000,139.00000000,0.97778837,0.00042481,0.91350870,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95117843,0.00133511,0.99999382,0.99976190,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.02_pr0.25,0.10000000,delta,0.30000000,0.02000000,0.25000000,126.00000000,0.97778837,0.00042481,0.91350882,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95117843,0.00133511,0.99999410,0.99976187,HOLD-no-promotion-gate
alpha0.1_delta_bw0.3_d0.02_pr0.5,0.10000000,delta,0.30000000,0.02000000,0.50000000,102.00000000,0.97778837,0.00042481,0.91350882,0.28767123,0.50684932,0.76507552,0.15407150,0.47432660,-0.00117580,0.95117843,0.00133511,0.99999467,0.99975702,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0_pr0,1.00000000,delta,0.30000000,0.00000000,0.00000000,334.00000000,0.97778045,0.00041689,0.91353678,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95115354,0.00131022,0.99999518,0.99975872,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0_pr0.25,1.00000000,delta,0.30000000,0.00000000,0.25000000,287.00000000,0.97778045,0.00041689,0.91353678,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95115354,0.00131022,0.99999545,0.99975756,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0_pr0.5,1.00000000,delta,0.30000000,0.00000000,0.50000000,207.00000000,0.97778045,0.00041689,0.91353747,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95115354,0.00131022,0.99999604,0.99975232,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.005_pr0,1.00000000,delta,0.30000000,0.00500000,0.00000000,251.00000000,0.97778045,0.00041689,0.91349628,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95115354,0.00131022,0.99999519,0.99975843,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.005_pr0.25,1.00000000,delta,0.30000000,0.00500000,0.25000000,219.00000000,0.97778045,0.00041689,0.91349628,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95115354,0.00131022,0.99999546,0.99975732,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.005_pr0.5,1.00000000,delta,0.30000000,0.00500000,0.50000000,158.00000000,0.97778045,0.00041689,0.91349697,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95115354,0.00131022,0.99999605,0.99975210,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.01_pr0,1.00000000,delta,0.30000000,0.01000000,0.00000000,196.00000000,0.97775569,0.00039213,0.91346251,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95107573,0.00123241,0.99999527,0.99975776,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.01_pr0.25,1.00000000,delta,0.30000000,0.01000000,0.25000000,173.00000000,0.97775569,0.00039213,0.91346251,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95107573,0.00123241,0.99999553,0.99975670,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.01_pr0.5,1.00000000,delta,0.30000000,0.01000000,0.50000000,129.00000000,0.97775569,0.00039213,0.91346285,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95107573,0.00123241,0.99999609,0.99975174,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.02_pr0,1.00000000,delta,0.30000000,0.02000000,0.00000000,125.00000000,0.97775569,0.00039213,0.91331448,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95107573,0.00123241,0.99999569,0.99975485,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.02_pr0.25,1.00000000,delta,0.30000000,0.02000000,0.25000000,115.00000000,0.97775569,0.00039213,0.91331448,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95107573,0.00123241,0.99999587,0.99975471,HOLD-no-promotion-gate
alpha1_delta_bw0.3_d0.02_pr0.5,1.00000000,delta,0.30000000,0.02000000,0.50000000,95.00000000,0.97775569,0.00039213,0.91331448,0.28767123,0.50684932,0.76221837,0.15524730,0.47432660,0.00000000,0.95107573,0.00123241,0.99999629,0.99975043,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.02_pr0,10.00000000,delta,1.00000000,0.02000000,0.00000000,90.00000000,0.97775457,0.00039102,0.91369320,0.30136986,0.50684932,0.76107552,0.16655328,0.47432660,0.01130599,0.95107222,0.00122891,0.99997423,0.99976380,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.02_pr0.25,10.00000000,delta,1.00000000,0.02000000,0.25000000,84.00000000,0.97775457,0.00039102,0.91369320,0.30136986,0.50684932,0.76107552,0.16655328,0.47432660,0.01130599,0.95107222,0.00122891,0.99997562,0.99976117,HOLD-no-promotion-gate
alpha10_delta_bw1_d0.02_pr0.5,10.00000000,delta,1.00000000,0.02000000,0.50000000,66.00000000,0.97775457,0.00039102,0.91369366,0.30136986,0.50684932,0.76107552,0.16655328,0.47432660,0.01130599,0.95107222,0.00122891,0.99997959,0.99975176,HOLD-no-promotion-gate
