name,kind,weights,macro_auc,micro_auc,top1_hit,top5_hit,scored_classes,min,max,mean,std
v114_prob_v116_0.15,prob_pair,v114:0.85;v116:0.15,0.9815129776391494,0.9150199095140288,0.1917808219178082,0.4794520547945205,22,0.013461866199999999,0.9991421699999999,0.5210639200166933,0.2358368908880567
v114_prob_v116_0.10,prob_pair,v114:0.90;v116:0.10,0.9814516218951156,0.9159053009692362,0.1917808219178082,0.4520547945205479,22,0.012689382800000001,0.99925018,0.5210811682646546,0.23758103294773103
v110_prob_v116_0.15,prob_pair,v110:0.85;v116:0.15,0.9813992464995634,0.9143525579298569,0.1917808219178082,0.4794520547945205,22,0.013461866199999999,0.999145315,0.5210779969907123,0.2361489298399006
v110_prob_v116_0.10,prob_pair,v110:0.90;v116:0.10,0.9813378907555298,0.9151570617706379,0.1917808219178082,0.4657534246575342,22,0.012689382800000001,0.9992535100000001,0.5210960732959686,0.23792939223461634
v114_logit_v116_0.15,logit_pair,v114:0.85;v116:0.15,0.9812330735023188,0.9191030656635989,0.2054794520547945,0.4657534246575342,22,0.01270736006066736,0.9993193739450691,0.5217004512836391,0.2390887226596454
v110_logit_v116_0.15,logit_pair,v110:0.85;v116:0.15,0.9812330735023188,0.9183613849202245,0.2054794520547945,0.4520547945205479,22,0.01270736006066736,0.9993233855062168,0.5217364904358486,0.23944476517619864
v114_logit_v116_0.10,logit_pair,v114:0.90;v116:0.10,0.9811995934531189,0.9185811507005293,0.2054794520547945,0.4794520547945205,22,0.0121637106952369,0.9993723267111465,0.521525146664197,0.23986201567687362
v114_logit_v116_0.08,logit_pair,v114:0.92;v116:0.08,0.9811310782781092,0.9181730306886229,0.1917808219178082,0.4794520547945205,22,0.01195274051795111,0.9993923364747915,0.5214491284575076,0.24022003725135718
v110_logit_v116_0.10,logit_pair,v110:0.90;v116:0.10,0.9811237726933949,0.9177798685570513,0.2054794520547945,0.4657534246575342,22,0.0121637106952369,0.9993762433142654,0.5215547800114636,0.24024362082397369
v110_logit_v116_0.08,logit_pair,v110:0.92;v116:0.08,0.9810421045162218,0.9173563304223381,0.1917808219178082,0.4794520547945205,22,0.01195274051795111,0.9993962122884664,0.5214761565854031,0.2406111286576329
v114_prob_v119_0.15,prob_pair,v114:0.85;v119:0.15,0.9810338912732273,0.921240661824072,0.1917808219178082,0.4794520547945205,22,0.01839485875,0.999440841,0.5210135816512501,0.23470783695932396
v114_prob_v113_0.00_v119_0.15,prob_three,v114:0.85;v113:0.00;v119:0.15,0.9810338912732273,0.921240661824072,0.1917808219178082,0.4794520547945205,22,0.01839485875,0.999440841,0.5210135816512501,0.23470783695932396
v114_prob_v113_0.02_v119_0.15,prob_three,v114:0.83;v113:0.02;v119:0.15,0.9810338912732273,0.9213186729230494,0.2054794520547945,0.4794520547945205,22,0.01839485875,0.999440417,0.521011703155648,0.23467952432318956
v114_prob_v113_0.05_v119_0.15,prob_three,v114:0.80;v113:0.05;v119:0.15,0.9810338912732273,0.9214206166305625,0.2054794520547945,0.4794520547945205,22,0.01839485875,0.999439781,0.5210088854122453,0.2346419549561914
v114_prob_v113_0.08_v119_0.15,prob_three,v114:0.77;v113:0.08;v119:0.15,0.9809959808933653,0.9215242862473452,0.2054794520547945,0.4657534246575342,22,0.01839485875,0.9994391450000001,0.5210060676688425,0.23461026757180264
v114_prob_v113_0.10_v119_0.15,prob_three,v114:0.75;v113:0.10;v119:0.15,0.9809959808933653,0.9215804358289099,0.2054794520547945,0.4657534246575342,22,0.01839485875,0.999438721,0.5210041891732408,0.23459241161224384
v114_prob_v113_0.15_v119_0.15,prob_three,v114:0.70;v113:0.15;v119:0.15,0.9809959808933653,0.9217140212063623,0.2054794520547945,0.4657534246575342,22,0.01839485875,0.9994376609999999,0.5209994929342362,0.23455921728058315
v110_prob_v119_0.15,prob_pair,v110:0.85;v119:0.15,0.9809201601336413,0.9205838958167526,0.1917808219178082,0.4794520547945205,22,0.01839485875,0.9994439860000001,0.5210276586252689,0.23500335427630015
v114_prob_v119_0.20,prob_pair,v114:0.80;v119:0.20,0.9808300284796274,0.9221619521920831,0.1917808219178082,0.4657534246575342,22,0.018149617,0.999432388,0.520979553948141,0.233006071404559
v114_prob_v113_0.00_v119_0.20,prob_three,v114:0.80;v113:0.00;v119:0.20,0.9808300284796274,0.9221619521920831,0.1917808219178082,0.4657534246575342,22,0.018149617,0.999432388,0.520979553948141,0.233006071404559
v114_prob_v113_0.02_v119_0.20,prob_three,v114:0.78;v113:0.02;v119:0.20,0.9808300284796274,0.922244105473307,0.1917808219178082,0.4657534246575342,22,0.018149617,0.999431964,0.5209776754525391,0.23298040195299885
v114_prob_v113_0.05_v119_0.20,prob_three,v114:0.75;v113:0.05;v119:0.20,0.9808300284796274,0.9223453588171124,0.2054794520547945,0.4657534246575342,22,0.018149617,0.999431328,0.5209748577091364,0.23294683416570935
v114_prob_v113_0.08_v119_0.20,prob_three,v114:0.72;v113:0.08;v119:0.20,0.9807921180997653,0.9224313090987291,0.2054794520547945,0.4657534246575342,22,0.018149617,0.9994306920000001,0.5209720399657336,0.23291919228955085
v114_prob_v113_0.10_v119_0.20,prob_three,v114:0.70;v113:0.10;v119:0.20,0.9807921180997653,0.92249275146872,0.2054794520547945,0.4657534246575342,22,0.018149617,0.999430268,0.5209701614701319,0.2329040576055146
v114_prob_v113_0.15_v119_0.20,prob_three,v114:0.65;v113:0.15;v119:0.20,0.9807921180997653,0.9226160964511738,0.2054794520547945,0.4657534246575342,22,0.018149617,0.9994292079999999,0.5209654652311271,0.23287775079480125
v110_prob_v119_0.20,prob_pair,v110:0.80;v119:0.20,0.9807162973400413,0.9215782496771687,0.1917808219178082,0.4794520547945205,22,0.018149617,0.9994353480000001,0.5209928028648646,0.2332620545536237
v114_logit_v116_0.05,logit_pair,v114:0.95;v116:0.05,0.980696584732711,0.9174377933398542,0.2191780821917808,0.5068493150684932,22,0.011643045583361156,0.9994211621337125,0.5213293090878119,0.24080801156179546
v114_prob_v116_0.08,prob_pair,v114:0.92;v116:0.08,0.980692449529254,0.9160437188926428,0.1917808219178082,0.4520547945205479,22,0.01238038944,0.999293384,0.5210880675638391,0.2383591384117383
v110_logit_v116_0.05,logit_pair,v110:0.95;v116:0.05,0.9806076109708236,0.9165923279190793,0.2054794520547945,0.5068493150684932,22,0.011643045583361156,0.9994249741929954,0.5213524090093075,0.24121250414887827
v114_prob_v119_0.10,prob_pair,v114:0.90;v119:0.10,0.9806050603911021,0.9198626958633752,0.1780821917808219,0.4657534246575342,22,0.0180468431,0.9994492939999999,0.5210476093543589,0.2367670850500369
v114_prob_v113_0.00_v119_0.10,prob_three,v114:0.90;v113:0.00;v119:0.10,0.9806050603911021,0.9198626958633752,0.1780821917808219,0.4657534246575342,22,0.0180468431,0.9994492939999999,0.5210476093543589,0.2367670850500369
v114_prob_v113_0.02_v119_0.10,prob_three,v114:0.88;v113:0.02;v119:0.10,0.9806050603911021,0.919945079265835,0.1917808219178082,0.4657534246575342,22,0.0180468431,0.9994488699999999,0.5210457308587572,0.23673621394532107
v114_prob_v113_0.05_v119_0.10,prob_three,v114:0.85;v113:0.05;v119:0.10,0.9806050603911021,0.920050359731269,0.1917808219178082,0.4657534246575342,22,0.018046843099999998,0.9994482339999999,0.5210429131153543,0.23669476318188554
v110_prob_v116_0.08,prob_pair,v110:0.92;v116:0.08,0.9805787183896679,0.9152815573592714,0.1917808219178082,0.4520547945205479,22,0.01238038944,0.9992967880000001,0.5211033038180712,0.23872238592240397
v114_prob_v117_0.10,prob_pair,v114:0.90;v117:0.10,0.9805759084797067,0.9077593543994751,0.1232876712328767,0.410958904109589,22,0.012678932600000001,0.99924832,0.5210825434203472,0.23770015135736913
v114_logit_v117_0.08,logit_pair,v114:0.92;v117:0.08,0.9805747703357813,0.9143064186220548,0.1780821917808219,0.4520547945205479,22,0.011948919812494723,0.999392001196907,0.521504547438763,0.2402967022724358
v114_prob_v113_0.08_v119_0.10,prob_three,v114:0.82;v113:0.08;v119:0.10,0.98056715001124,0.9201580564696802,0.1917808219178082,0.4657534246575342,22,0.0180468431,0.9994475980000002,0.5210400953719516,0.23665914218055806
v114_prob_v113_0.10_v119_0.10,prob_three,v114:0.80;v113:0.10;v119:0.10,0.98056715001124,0.9202181181122556,0.1917808219178082,0.4657534246575342,22,0.0180468431,0.9994471739999999,0.5210382168763498,0.23663863492086973
