blend,w113,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
prob_v110_v113,0.0,0.9791120435267349,0.9148163672808564,0.2191780821917808,0.5205479452054794,0.011144416,0.9994699,0.5211322259064814,0.24234454536630962
prob_v110_v113,0.05,0.9791120435267349,0.9151681651202711,0.2191780821917808,0.5205479452054794,0.011144416,0.999468655,0.5211267016101816,0.24218115969502277
prob_v110_v113,0.1,0.9791120435267349,0.9154647913933738,0.2328767123287671,0.5205479452054794,0.011144416,0.9994674100000001,0.5211211773138817,0.24203960703424302
prob_v110_v113,0.15,0.9792010172886223,0.9157240229656392,0.2328767123287671,0.5205479452054794,0.011144416,0.9994661650000001,0.5211156530175819,0.24191992570889498
prob_v110_v113,0.2,0.9792010172886223,0.9159517279285833,0.2328767123287671,0.5205479452054794,0.011144416,0.9994649200000001,0.521110128721282,0.24182214819231426
prob_v110_v113,0.25,0.9791631069087603,0.9161499773733295,0.2328767123287671,0.5205479452054794,0.011144416,0.999463675,0.5211046044249822,0.2417463010623653
prob_v110_v113,0.3,0.9791631069087603,0.916326710482517,0.2328767123287671,0.5205479452054794,0.011144416,0.9994624299999999,0.5210990801286823,0.24169240496541833
prob_v110_v113,0.4,0.9791383495310618,0.9165820299937718,0.2191780821917808,0.5205479452054794,0.011144416,0.9994599399999999,0.5210880315360826,0.24165051863829567
prob_v110_v113,0.5,0.9791004391511998,0.9167513992234099,0.2191780821917808,0.5205479452054794,0.011144416,0.99945745,0.5210769829434829,0.2416965348880992
prob_v110_v113,0.6,0.9790246183914758,0.9167825806508773,0.2191780821917808,0.5205479452054794,0.011144416,0.99945496,0.5210659343508832,0.24183040353569762
prob_v110_v113,0.75,0.9786586675950191,0.9166005547532634,0.2054794520547945,0.547945205479452,0.011144416,0.999451225,0.5210493614619836,0.24219558494641982
prob_v110_v113,1.0,0.9775592665790209,0.9155821532236936,0.1780821917808219,0.5342465753424658,0.011144416,0.99950665,0.5210217399804843,0.243240073279895
rank_v110_v113,0.05,0.9619892048064705,0.8977077163447404,0.2191780821917808,0.5205479452054794,0.0,1.0,0.49999999999999994,0.2896352679206975
rank_v110_v113,0.1,0.9622166670856426,0.8980202785134306,0.2191780821917808,0.5205479452054794,0.0,1.0,0.5000000000000001,0.28938794647003185
rank_v110_v113,0.15,0.9622565533839373,0.8982276752773047,0.2191780821917808,0.5205479452054794,0.0,1.0,0.4999999999999999,0.2891695459960076
rank_v110_v113,0.2,0.9621015175587161,0.8983668410947281,0.2191780821917808,0.5205479452054794,0.0,1.0,0.5000000000000001,0.28898013207083906
rank_v110_v113,0.25,0.9620399737221507,0.8984946734412824,0.2191780821917808,0.5205479452054794,0.0,1.0,0.5,0.28881976172445223
rank_v110_v113,0.3,0.9617892134949837,0.8985650330091653,0.2191780821917808,0.5205479452054794,0.0,1.0,0.5,0.28868848335915037
rank_v110_v113,0.4,0.9614845072806711,0.8986342419708687,0.2328767123287671,0.5205479452054794,0.0,1.0,0.49999999999999994,0.2885133526194629
rank_v110_v113,0.5,0.9605544246644313,0.8985357500818943,0.2191780821917808,0.5205479452054794,0.0,1.0,0.5,0.28845495207783817
